,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5529,3545077,WHS2_131,COUNTRY,CZE,EUR,YEAR,Europe,SEX,2009,SEX_MLE,,,,,,,640 [540-750],635.109924316,541.755126953,745.704528809,,2025-03-19T11:00:50.48+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
5530,3549090,WHS2_131,COUNTRY,DZA,AFR,YEAR,Africa,SEX,2010,SEX_FMLE,,,,,,,600 [360-900],598.321777344,355.003387451,904.738952637,,2025-03-19T11:00:50.48+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5531,3549330,WHS2_131,COUNTRY,LCA,AMR,YEAR,Americas,SEX,2004,SEX_BTSX,,,,,,,540 [480-730],542.305480957,482.462005615,730.886108398,,2025-03-19T11:00:50.48+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5532,3550378,WHS2_131,COUNTRY,PRI,AMR,YEAR,Americas,SEX,2014,SEX_BTSX,,,,,,,330 [250-400],334.14642334,250.982055664,397.418426514,,2025-03-19T11:00:50.48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5533,3555585,WHS2_131,COUNTRY,AUS,WPR,YEAR,Western Pacific,SEX,2010,SEX_FMLE,,,,,,,260 [200-340],260.192871094,197.306625366,336.762420654,,2025-03-19T11:00:50.48+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5534,3557019,WHS2_131,COUNTRY,LCA,AMR,YEAR,Americas,SEX,2006,SEX_MLE,,,,,,,630 [580-870],632.003051758,578.412597656,872.663391113,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5535,3557127,WHS2_131,COUNTRY,CAF,AFR,YEAR,Africa,SEX,2013,SEX_FMLE,,,,,,,720 [340-1490],719.441711426,342.354522705,1488.878173828,,2025-03-19T11:00:50.48+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
5536,3557283,WHS2_131,COUNTRY,CUB,AMR,YEAR,Americas,SEX,2014,SEX_BTSX,,,,,,,420 [340-520],421.186035156,343.866790771,517.488586426,,2025-03-19T11:00:50.48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5537,3557475,WHS2_131,COUNTRY,SGP,WPR,YEAR,Western Pacific,SEX,2007,SEX_BTSX,,,,,,,330 [280-430],325.792724609,277.4425354,426.235321045,,2025-03-19T11:00:50.48+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
5538,3557484,WHS2_131,COUNTRY,BGD,SEAR,YEAR,South-East Asia,SEX,2018,SEX_BTSX,,,,,,,500 [290-810],496.499908447,291.377197266,811.129394531,,2025-03-19T11:00:50.48+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5539,3558197,WHS2_131,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,SEX,2020,SEX_BTSX,,,,,,,470 [280-760],469.650817871,279.498352051,757.283569336,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5540,3558439,WHS2_131,COUNTRY,STP,AFR,YEAR,Africa,SEX,2014,SEX_FMLE,,,,,,,570 [320-900],567.368164063,321.16595459,904.71862793,,2025-03-19T11:00:50.48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5541,3562654,WHS2_131,COUNTRY,UZB,EUR,YEAR,Europe,SEX,2001,SEX_FMLE,,,,,,,1150 [970-1430],1154.601196289,971.127075195,1434.544921875,,2025-03-19T11:00:50.48+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5542,3564295,WHS2_131,COUNTRY,TUR,EUR,YEAR,Europe,SEX,2007,SEX_MLE,,,,,,,640 [370-770],642.831848145,374.424377441,770.568725586,,2025-03-19T11:00:50.48+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
